X,Y,D1,D2,D3,D4,D5,D6,D7,D8
11,0,15.84893192,2.511886432,89.12509381,70.79457844,44.66835922,1.995262315,177.827941,50.11872336
11,1,14.12537545,5.623413252,79.43282347,70.79457844,28.18382931,5.623413252,0.011220185,50.11872336
11,2,17.7827941,6.309573445,112.2018454,70.79457844,35.48133892,3.548133892,0.011220185,63.09573445
11,3,19.95262315,2.818382931,158.4893192,50.11872336,50.11872336,7.079457844,0.011220185,79.43282347
11,4,15.84893192,4.466835922,112.2018454,44.66835922,35.48133892,5.623413252,0.011220185,63.09573445
11,5,35.48133892,2.818382931,100,89.12509381,35.48133892,7.079457844,0.011220185,100
11,6,28.18382931,2.511886432,158.4893192,50.11872336,63.09573445,15.84893192,0.011220185,112.2018454
11,7,11.22018454,0.707945784,79.43282347,28.18382931,22.38721139,35.48133892,0.011220185,70.79457844
11,8,25.11886432,3.981071706,177.827941,28.18382931,19.95262315,15.84893192,0.011220185,89.12509381
11,9,10,0.398107171,125.8925412,31.6227766,31.6227766,39.81071706,0.011220185,112.2018454
11,10,12.58925412,0.891250938,158.4893192,5.623413252,50.11872336,31.6227766,199.5262315,125.8925412
11,11,6.309573445,2.238721139,177.827941,17.7827941,19.95262315,63.09573445,199.5262315,125.8925412
11,12,7.943282347,3.16227766,125.8925412,28.18382931,17.7827941,79.43282347,0.011220185,158.4893192
11,13,28.18382931,1.995262315,112.2018454,31.6227766,31.6227766,56.23413252,177.827941,177.827941
11,14,22.38721139,2.511886432,112.2018454,35.48133892,44.66835922,50.11872336,177.827941,89.12509381
11,15,22.38721139,5.011872336,112.2018454,39.81071706,44.66835922,44.66835922,177.827941,125.8925412
11,16,4.466835922,7.079457844,50.11872336,25.11886432,31.6227766,70.79457844,0.011220185,177.827941
11,17,8.912509381,7.943282347,112.2018454,25.11886432,31.6227766,70.79457844,0.011220185,177.827941
11,18,10,3.548133892,89.12509381,12.58925412,28.18382931,89.12509381,0.011220185,177.827941
11,19,3.548133892,1.995262315,63.09573445,8.912509381,5.623413252,100,177.827941,177.827941
11,20,3.981071706,1.77827941,141.2537545,19.95262315,25.11886432,70.79457844,100,141.2537545
11,21,3.548133892,6.309573445,50.11872336,11.22018454,44.66835922,125.8925412,158.4893192,141.2537545
11,22,4.466835922,4.466835922,44.66835922,12.58925412,0.011220185,125.8925412,141.2537545,70.79457844
11,23,6.309573445,3.548133892,25.11886432,39.81071706,0.011220185,79.43282347,89.12509381,177.827941
11,24,7.079457844,7.079457844,70.79457844,44.66835922,39.81071706,63.09573445,89.12509381,112.2018454
11,25,1.995262315,8.912509381,50.11872336,19.95262315,22.38721139,125.8925412,112.2018454,177.827941
11,26,2.818382931,6.309573445,25.11886432,35.48133892,25.11886432,63.09573445,125.8925412,141.2537545
11,27,3.16227766,8.912509381,22.38721139,15.84893192,50.11872336,63.09573445,112.2018454,141.2537545
11,28,1.258925412,12.58925412,50.11872336,15.84893192,39.81071706,0.011220185,70.79457844,0.011220185
11,29,3.16227766,5.011872336,11.22018454,12.58925412,35.48133892,79.43282347,141.2537545,0.011220185
11,30,1.995262315,2.818382931,25.11886432,17.7827941,39.81071706,112.2018454,79.43282347,141.2537545
11,30.3,1,2.238721139,25.11886432,28.18382931,35.48133892,125.8925412,100,141.2537545
11,31,1,2.238721139,22.38721139,28.18382931,50.11872336,0.011220185,112.2018454,0.011220185
11,32,1,4.466835922,44.66835922,35.48133892,39.81071706,56.23413252,79.43282347,112.2018454
11,33,1.122018454,7.079457844,12.58925412,39.81071706,63.09573445,100,70.79457844,89.12509381
11,34,0.630957344,8.912509381,17.7827941,14.12537545,63.09573445,100,79.43282347,158.4893192
11,35,1.122018454,5.623413252,25.11886432,17.7827941,63.09573445,89.12509381,63.09573445,177.827941
11,36,1.412537545,5.623413252,12.58925412,39.81071706,56.23413252,125.8925412,89.12509381,100
11,37,2.818382931,11.22018454,8.912509381,70.79457844,44.66835922,141.2537545,56.23413252,112.2018454
11,38,1.995262315,15.84893192,3.981071706,35.48133892,39.81071706,141.2537545,112.2018454,125.8925412
11,39,3.16227766,44.66835922,5.011872336,44.66835922,89.12509381,158.4893192,50.11872336,89.12509381
11,40,6.309573445,8.912509381,1.995262315,35.48133892,50.11872336,79.43282347,19.95262315,125.8925412
12,24,2.818382931,12.58925412,70.79457844,7.943282347,35.48133892,0.011220185,70.79457844,89.12509381
13,24,3.981071706,14.12537545,56.23413252,12.58925412,12.58925412,141.2537545,56.23413252,100
14,24,5.011872336,11.22018454,39.81071706,6.309573445,8.912509381,63.09573445,79.43282347,70.79457844
15,24,3.548133892,10,63.09573445,12.58925412,11.22018454,63.09573445,79.43282347,63.09573445
16,24,10,8.912509381,31.6227766,5.011872336,7.079457844,70.79457844,44.66835922,56.23413252
17,24,5.623413252,12.58925412,35.48133892,5.011872336,5.623413252,112.2018454,39.81071706,56.23413252
18,24,3.548133892,10,39.81071706,7.079457844,7.943282347,63.09573445,50.11872336,141.2537545
19,24,8.912509381,8.912509381,63.09573445,8.912509381,15.84893192,56.23413252,25.11886432,44.66835922
20,24,4.466835922,35.48133892,44.66835922,5.623413252,5.011872336,79.43282347,63.09573445,39.81071706
21,24,5.011872336,7.079457844,31.6227766,1.995262315,7.943282347,44.66835922,39.81071706,39.81071706
22,24,19.95262315,10,17.7827941,1.258925412,5.623413252,50.11872336,25.11886432,39.81071706
23,24,31.6227766,14.12537545,12.58925412,1.77827941,2.238721139,25.11886432,35.48133892,19.95262315
24,24,15.84893192,22.38721139,10,0.891250938,1.995262315,15.84893192,10,11.22018454
25,24,7.943282347,28.18382931,19.95262315,0.281838293,4.466835922,35.48133892,4.466835922,10
26,24,6.309573445,14.12537545,19.95262315,0.562341325,1.584893192,6.309573445,3.981071706,7.079457844
27,24,11.22018454,22.38721139,35.48133892,0.630957344,3.16227766,3.548133892,4.466835922,7.079457844
28,24,35.48133892,22.38721139,17.7827941,0.707945784,2.818382931,6.309573445,8.912509381,7.943282347
29,24,14.12537545,17.7827941,28.18382931,1.122018454,8.912509381,14.12537545,14.12537545,7.943282347
30,24,11.22018454,39.81071706,39.81071706,1.122018454,5.011872336,50.11872336,8.912509381,5.011872336
31,24,17.7827941,35.48133892,44.66835922,1.995262315,8.912509381,70.79457844,6.309573445,4.466835922
32,24,31.6227766,44.66835922,56.23413252,3.16227766,14.12537545,70.79457844,3.548133892,5.011872336
33,24,39.81071706,70.79457844,79.43282347,8.912509381,25.11886432,70.79457844,4.466835922,3.981071706
34,24,100,158.4893192,79.43282347,4.466835922,8.912509381,63.09573445,3.16227766,4.466835922
35,24,112.2018454,125.8925412,100,12.58925412,15.84893192,70.79457844,4.466835922,8.912509381
36,24,112.2018454,89.12509381,112.2018454,19.95262315,7.079457844,44.66835922,7.079457844,5.011872336
37,24,56.23413252,56.23413252,70.79457844,22.38721139,22.38721139,25.11886432,4.466835922,5.623413252
38,24,141.2537545,100,79.43282347,22.38721139,35.48133892,56.23413252,10,7.079457844
39,24,177.827941,112.2018454,89.12509381,31.6227766,12.58925412,63.09573445,11.22018454,6.309573445
40,24,125.8925412,0.011220185,70.79457844,4.466835922,4.466835922,63.09573445,8.912509381,3.981071706
45.2,39.6,79.43282347,0.011220185,25.11886432,11.22018454,100,56.23413252,5.623413252,22.38721139
46.2,39.6,100,177.827941,14.12537545,14.12537545,158.4893192,0.011220185,5.011872336,28.18382931
47.2,39.6,56.23413252,177.827941,11.22018454,15.84893192,50.11872336,141.2537545,5.623413252,39.81071706
48.2,39.6,56.23413252,177.827941,14.12537545,17.7827941,112.2018454,141.2537545,4.466835922,44.66835922
46.2,38,177.827941,177.827941,17.7827941,15.84893192,70.79457844,112.2018454,3.981071706,31.6227766
46.2,37,125.8925412,177.827941,56.23413252,3.548133892,89.12509381,141.2537545,2.511886432,31.6227766
46.2,36,89.12509381,0.011220185,56.23413252,17.7827941,100,177.827941,2.238721139,50.11872336
46.2,35,158.4893192,177.827941,39.81071706,70.79457844,158.4893192,199.5262315,2.818382931,56.23413252
46.2,34,112.2018454,177.827941,35.48133892,31.6227766,79.43282347,141.2537545,1.122018454,22.38721139
46.2,33,89.12509381,141.2537545,79.43282347,14.12537545,63.09573445,177.827941,1,22.38721139
46.2,32,112.2018454,141.2537545,44.66835922,50.11872336,70.79457844,177.827941,0.794328235,44.66835922
46.2,31,125.8925412,0.011220185,39.81071706,25.11886432,100,177.827941,5.623413252,22.38721139
46.2,30,79.43282347,0.011220185,89.12509381,8.912509381,50.11872336,177.827941,2.238721139,22.38721139
